Index,CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GDP per capita,Italy,ITA,804.4926233,887.3367446,990.2601522,1126.019337,1222.54454,1304.453817,1402.442354,1533.692877,1651.939377,1813.388126,2099.914291,2298.004539,2662.326351,3194.679281,3609.201197,4093.446604,4019.795861,4588.414345,5591.991427,6967.227773,8429.023153,7597.688799,7531.597628,7806.739007,7714.185204,7964.328637,11277.69168,14187.77425,15692.72623,16332.60949,20757.08868,21884.10437,23166.80406,18676.95258,19273.84417,20596.38858,23020.09994,21779.62437,22252.35809,21936.82313,20051.24215,20400.81111,22196.50675,27387.22632,31174.56109,31959.26295,33410.74744,37698.78665,40640.18386,36976.84553,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572,30170.5166,30829.52874,32110.02726
Life expectancy,Italy,ITA,69.12390244,69.7602439,69.1497561,69.24804878,70.31170732,70.17170732,70.92609756,70.95658537,70.78,70.81195122,71.55878049,71.80682927,72.07536585,72.02634146,72.73439024,72.64731707,72.99195122,73.36463415,73.69317073,74.00268293,73.94317073,74.35390244,74.81463415,74.6402439,75.3895122,75.47073171,75.77073171,76.2195122,76.37073171,76.8195122,76.97073171,77.0195122,77.4195122,77.72195122,77.92195122,78.17073171,78.52195122,78.82439024,78.97560976,79.42439024,79.77804878,80.12682927,80.22926829,79.98292683,80.7804878,80.78292683,81.28292683,81.43414634,81.48536585,81.63658537,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,82.54390244,83.24390244,83.24390244
Net migration,Italy,ITA,,,-231607,,,,,-231781,,,,,19396,,,,,164927,,,,,266352,,,,,-10058,,,,,152825,,,,,223974,,,,,1624300,,,,,1006308,,,,,264145,,,,,350000
Population,Italy,ITA,50199700,50536350,50879450,51252000,51675350,52112350,52519000,52900500,53235750,53537950,53821850,54073490,54381345,54751406,55110868,55441001,55718260,55955411,56155143,56317749,56433883,56501675,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709
GDP per capita,Jamaica,JAM,429.3258531,453.1294649,463.9596992,485.3192983,518.8897231,553.5269471,616.0536107,636.7080743,593.7027625,644.1433078,749.0616952,808.7460998,969.1036412,969.0941949,1188.716633,1410.642152,1443.254284,1561.950511,1255.874267,1137.077587,1238.721087,1355.608144,1473.401112,1591.831923,1027.986765,898.053974,1166.339014,1381.505722,1599.438627,1829.519238,1894.292759,1666.013637,1432.200524,2171.784259,2156.398413,2576.943758,2875.886078,3237.586991,3355.797804,3359.384455,3381.939321,3428.456773,3596.499339,3465.220089,3719.97351,4082.240762,4311.85108,4621.856417,4903.184444,4303.539796,4685.58832,5093.972548,5208.996089,4976.848781,4839.892104,4925.415859,4883.86027,5114.041081
Life expectancy,Jamaica,JAM,64.387,64.96,65.484,65.962,66.396,66.789,67.144,67.466,67.763,68.045,68.324,68.609,68.907,69.219,69.546,69.885,70.235,70.583,70.919,71.231,71.509,71.739,71.92,72.052,72.135,72.175,72.179,72.16,72.129,72.096,72.065,72.039,72.015,71.996,71.986,71.99,72.011,72.052,72.116,72.205,72.327,72.487,72.683,72.911,73.167,73.446,73.739,74.038,74.334,74.619,74.883,75.122,75.334,75.523,75.689,75.836,75.97,76.097
Net migration,Jamaica,JAM,,,-144764,,,,,-151557,,,,,-92857,,,,,-101213,,,,,-73916,,,,,-145996,,,,,-101198,,,,,-82801,,,,,-84638,,,,,-87395,,,,,-93096,,,,,-93000
Population,Jamaica,JAM,1628252,1650806,1676250,1703395,1730486,1756266,1780264,1803064,1825633,1849414,1875381,1904016,1934828,1966700,1998034,2027737,2055085,2080538,2105664,2132690,2163045,2197583,2235327,2273666,2308947,2338638,2361720,2379279,2393534,2407720,2424242,2443689,2465362,2488782,2513049,2537440,2561993,2586827,2611367,2634882,2656864,2677011,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299
GDP per capita,Jordan,JOR,,,,,,511.5619631,519.8892796,458.6365611,374.5471345,432.7207505,372.0937311,375.4231772,419.1839041,485.0369741,597.2837672,660.733679,805.9808147,963.4367714,1164.752385,1422.703959,1646.732099,1781.528401,1828.548057,1844.597166,1786.311321,1724.397465,2125.786205,2159.775695,1929.858724,1243.274348,1168.349421,1157.407168,1338.473803,1338.091387,1418.973205,1471.154136,1469.001548,1499.542259,1605.614581,1624.9791,1657.889256,1728.260509,1812.288374,1889.213962,2061.456882,2203.083787,2537.30049,2762.806354,3385.609665,3492.130906,3679.190275,3807.324145,3870.753211,3992.867107,4066.940775,4096.099275,4087.937517,4129.751664
Life expectancy,Jordan,JOR,52.651,53.438,54.22,54.995,55.765,56.526,57.279,58.022,58.752,59.468,60.171,60.864,61.545,62.215,62.869,63.502,64.108,64.683,65.224,65.731,66.207,66.656,67.086,67.5,67.899,68.283,68.649,68.992,69.311,69.604,69.872,70.113,70.331,70.529,70.712,70.885,71.053,71.219,71.386,71.556,71.73,71.907,72.083,72.256,72.427,72.594,72.76,72.924,73.087,73.25,73.412,73.571,73.729,73.883,74.034,74.182,74.329,74.476
Net migration,Jordan,JOR,,,35715,,,,,254352,,,,,-29706,,,,,-80758,,,,,81657,,,,,170602,,,,,412472,,,,,-150147,,,,,-93897,,,,,649997,,,,,975285,,,,,0
Population,Jordan,JOR,932257,973083,1009733,1049302,1101459,1172550,1265806,1377465,1498309,1615277,1718913,1806605,1881214,1945626,2004833,2062918,2120069,2176135,2234594,2299655,2374422,2461193,2559718,2667470,2780428,2895985,3011300,3127917,3252672,3395023,3560582,3753433,3968198,4189431,4395953,4572904,4716373,4832267,4927912,5014899,5103130,5193482,5287488,5396774,5535595,5714111,5934232,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802,9702353
GDP per capita,Japan,JPN,478.9953402,563.5867598,633.6403152,717.8669152,835.6572525,919.7766882,1058.503561,1228.90921,1450.619652,1669.0982,2037.559901,2272.077802,2967.041996,3997.84112,4353.824355,4659.120115,5197.806697,6335.787627,8821.843492,9105.136097,9465.379714,10361.32306,9578.113803,10425.40682,10984.86583,11584.64933,17111.85373,20745.25209,25051.85432,24813.29938,25359.34702,28925.04158,31464.54905,35765.91409,39268.56687,43440.36787,38436.92631,35021.71909,31902.7671,36026.55608,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34567.74568,38972.34064,38430.29124
Life expectancy,Japan,JPN,67.66609756,68.31,68.59487805,69.65804878,70.13243902,70.20195122,70.98658537,71.27658537,71.61121951,71.83878049,71.9502439,72.88292683,73.50658537,73.75756098,74.39390244,75.05731707,75.45682927,75.89829268,76.03829268,76.33756098,76.09170732,76.41439024,76.92292683,76.96146341,77.36536585,77.6504878,78.06463415,78.48365854,78.39926829,78.81804878,78.83682927,79.10073171,79.15390244,79.29365854,79.68707317,79.53634146,80.2002439,80.42414634,80.50146341,80.57073171,81.07609756,81.41707317,81.56341463,81.76,82.0302439,81.92512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561
Net migration,Japan,JPN,,,-151351,,,,,819220,,,,,727596,,,,,205006,,,,,50002,,,,,-298339,,,,,46286,,,,,-100333,,,,,164199,,,,,277580,,,,,358133,,,,,250000
Population,Japan,JPN,92500572,94943000,95832000,96812000,97826000,98883000,99790000,100725000,101061000,103172000,104345000,105697000,107188000,108079000,110162000,111940000,112771000,113863000,114898000,115870000,116782000,117648000,118449000,119259000,120018000,120754000,121492000,122091000,122613000,123116000,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797
GDP per capita,Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.463231,1512.485066,1515.104059,1433.461534,1320.321622,1288.239052,1350.333866,1445.569414,1468.701798,1130.113592,1229.000958,1490.92709,1658.030785,2068.124118,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.223175,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9030.318806
Life expectancy,Kazakhstan,KAZ,58.36758537,58.78158537,59.19907317,59.61856098,60.03604878,60.44902439,60.852,61.2394878,61.60897561,61.95646341,62.27646341,62.56495122,62.82495122,63.06043902,63.27992683,63.49236585,63.7097561,63.94058537,64.19190244,64.46673171,66.62439024,66.70609756,66.78780488,67.66219512,68.53658537,68.53658537,68.91341463,69.2902439,68.84878049,68.2902439,68.33658537,67.98292683,67.73170732,66.72682927,65.67317073,64.9195122,64.1097561,64.46341463,64.56097561,65.5195122,65.51707317,65.76829268,65.96829268,65.86585366,65.88780488,65.9097561,66.16097561,66.50487805,67.02195122,68.42926829,68.29536585,68.98,69.61,70.45,71.62,72,72.3,72.95
Net migration,Kazakhstan,KAZ,,,691681,,,,,173343,,,,,-128101,,,,,-412067,,,,,-429797,,,,,-656091,,,,,-1411744,,,,,-1324984,,,,,44530,,,,,-35196,,,,,159807,,,,,0
Population,Kazakhstan,KAZ,9714260,10129861,10532062,10913552,11267329,11588870,11872939,12120504,12341412,12550121,12757245,12966920,13176584,13382211,13577049,13756789,13920105,14070681,14215111,14362417,14518924,14683789,14853993,15030495,15214051,15403006,15600928,15801753,15982510,16249500,16348000,16450500,16439095,16330419,16095199,15815626,15577894,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037776
GDP per capita,Kenya,KEN,97.62153058,94.8352649,100.6042667,104.0127363,108.5589446,104.9921623,118.5563545,121.3808113,128.8577307,134.1937363,142.4970893,152.5532193,174.3976141,199.6944931,228.7584182,241.6723212,248.2400422,309.353539,351.6367428,398.0367672,446.5744543,405.5509672,366.2749507,327.8176449,326.9364626,312.1960254,355.2313447,377.4184626,382.0224053,365.9747535,366.3008909,337.1221889,328.8393137,223.3348006,269.2487013,330.8043302,427.9512673,452.9848068,473.4327212,421.4328846,403.9797132,401.7763612,395.8493511,436.6875357,458.8843551,519.7999346,697.0066385,839.1081117,916.8992515,920.0816252,967.3504549,987.4453967,1155.020583,1229.101069,1335.123148,1355.055471,1462.503743,1594.834926
Life expectancy,Kenya,KEN,46.348,46.997,47.635,48.251,48.841,49.409,49.962,50.514,51.074,51.644,52.222,52.803,53.379,53.945,54.497,55.042,55.592,56.148,56.705,57.247,57.757,58.211,58.588,58.869,59.039,59.082,58.994,58.783,58.465,58.05,57.536,56.918,56.212,55.449,54.669,53.911,53.205,52.589,52.106,51.805,51.751,52.004,52.565,53.413,54.513,55.819,57.271,58.784,60.275,61.68,62.936,64.008,64.907,65.651,66.242,66.695,67.032,67.291
Net migration,Kenya,KEN,,,-20000,,,,,-19535,,,,,-17915,,,,,-2930,,,,,3805,,,,,5023,,,,,221569,,,,,-21386,,,,,25144,,,,,-189330,,,,,-50000,,,,,-50000
Population,Kenya,KEN,8105440,8361441,8628972,8908422,9200157,9504703,9822499,10154484,10502245,10867716,11252492,11657514,12083188,12529852,12997595,13486629,13996704,14528293,15082994,15662852,16268990,16901677,17559430,18239404,18937738,19651225,20378626,21119318,21871442,22633022,23402507,24179598,24963953,25754114,26548486,27346456,28147734,28954114,29769803,30600397,31450483,32321482,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862
GDP per capita,Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.1728912,575.6439745,513.0359437,449.0657902,372.30781,364.2264974,394.8601215,376.4296133,345.1381316,258.0492288,279.6204249,308.4087767,321.7266063,380.5073398,433.2349766,476.55213,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1220.473498
Life expectancy,Kyrgyz Republic,KGZ,56.12807317,56.56412195,57.00265854,57.44319512,57.8822439,58.31526829,58.73829268,59.14631707,59.53585366,59.90387805,60.24490244,60.55441463,60.83541463,61.09290244,61.33290244,61.56485366,61.7972439,62.04007317,62.30090244,62.5857561,62.90378049,63.26363415,63.65887805,64.0775122,64.50492683,64.91895122,65.29378049,65.61119512,65.85858537,67.90731707,68.29756098,68.55121951,68.10243902,67.19268293,66.03902439,65.7902439,66.54390244,66.89268293,67.05121951,68.65609756,68.55853659,68.70731707,68.15609756,68.25609756,68.15365854,67.95609756,67.69512195,67.89512195,68.45121951,69.10243902,69.3,69.60243902,70.00243902,70.20243902,70.40243902,70.65121951,70.95121951,71.2
Net migration,Kyrgyz Republic,KGZ,,,103107,,,,,104185,,,,,-12065,,,,,-45839,,,,,-54162,,,,,-126883,,,,,-276249,,,,,-27268,,,,,-172911,,,,,-76604,,,,,-137902,,,,,-100001
Population,Kyrgyz Republic,KGZ,2172300,2255900,2333400,2413700,2495300,2573300,2655300,2736500,2818300,2894800,2959900,3022300,3088200,3153800,3223900,3292400,3358700,3423900,3487100,3552000,3617400,3685800,3759300,3838300,3916400,3990300,4066500,4144600,4218400,4307500,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200
GDP per capita,Cambodia,KHM,111.3424797,109.4594743,109.4790454,117.8203826,123.6431914,134.304155,138.8486264,144.025565,157.2146035,142.2949629,102.7043272,135.8847756,69.25190618,94.38327605,78.1318239,,,,,,,,,,,,,,,,,,,254.1791425,270.6091637,323.0099928,319.3632544,304.837993,269.054641,295.9735957,302.6489962,321.2263004,339.0676984,362.4213785,408.6105184,474.2238766,539.8791529,631.675789,745.7877873,738.2326684,785.6928841,882.4901462,951.1112311,1013.665952,1093.762067,1163.18977,1269.907238,1384.423187
Life expectancy,Cambodia,KHM,41.242,41.366,41.526,41.71,41.893,42.083,42.298,42.486,42.55,42.369,41.566,39.699,36.676,32.667,28.04,23.595,20.317,18.907,19.725,22.744,27.536,33.342,39.157,44.173,48.025,50.563,51.916,52.587,52.999,53.302,53.595,53.916,54.228,54.514,54.82,55.189,55.653,56.212,56.862,57.604,58.432,59.335,60.283,61.241,62.186,63.088,63.927,64.695,65.391,66.01,66.555,67.034,67.466,67.868,68.251,68.62,68.981,69.331
Net migration,Cambodia,KHM,,,0,,,,,-249999,,,,,-125000,,,,,-84999,,,,,-88854,,,,,-78022,,,,,409414,,,,,348495,,,,,-35156,,,,,-295987,,,,,-149999,,,,,-149999
Population,Cambodia,KHM,5722370,5873015,6028551,6183747,6331583,6467197,6584766,6685321,6778723,6879184,6994848,7137749,7300152,7447285,7531424,7522593,7402873,7194279,6955566,6768724,6692107,6748193,6918101,7168236,7446019,7712978,7958976,8196037,8433798,8689152,8973342,9286976,9621504,9968275,10315376,10653558,10980273,11295880,11597739,11883636,12152354,12402473,12634729,12853124,13063377,13270201,13474489,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373
GDP per capita,Kiribati,KIR,,,,,,,,,,,279.3247009,293.6786637,358.4833967,591.5726014,1574.791732,998.4197102,734.4019419,682.0640633,784.0523451,728.4751211,652.4470339,687.9716636,665.9892668,612.5799417,657.152244,501.9319158,489.7213208,499.6764585,621.9008827,580.2952533,549.7643854,644.7108451,638.4725668,619.6545734,715.1671148,724.7913054,842.9591391,842.281248,801.1629805,832.0547943,796.7937634,734.9492461,826.585504,1015.038605,1130.602806,1214.556667,1169.4774,1377.534684,1432.777431,1316.721614,1520.875339,1736.211995,1784.428931,1705.56891,1626.893872,1522.306195,1558.886953,1594.29287
Life expectancy,Kiribati,KIR,49.245,49.773,50.304,50.828,51.338,51.838,52.337,52.845,53.361,53.879,54.384,54.858,55.287,55.659,55.973,56.224,56.416,56.564,56.688,56.802,56.927,57.077,57.262,57.49,57.768,58.101,58.492,58.927,59.394,59.88,60.371,60.854,61.318,61.755,62.158,62.526,62.862,63.174,63.469,63.745,64.001,64.231,64.43,64.599,64.74,64.859,64.961,65.054,65.146,65.244,65.354,65.481,65.623,65.78,65.949,66.13,66.317,66.506
Net migration,Kiribati,KIR,,,-1219,,,,,-1274,,,,,-1500,,,,,-2576,,,,,-3112,,,,,-766,,,,,-4598,,,,,-2977,,,,,-2039,,,,,-578,,,,,-2130,,,,,-2126
Population,Kiribati,KIR,41233,42257,43302,44363,45425,46453,47459,48437,49388,50294,51178,52025,52824,53604,54380,55169,55977,56810,57662,58506,59339,60133,60920,61768,62765,64003,65518,67261,69098,70860,72412,73700,74769,75719,76671,77730,78907,80184,81550,82966,84406,85858,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395,116398
GDP per capita,St. Kitts and Nevis,KNA,241.5580352,243.8464108,246.0770348,253.9975535,268.7072874,276.220838,299.2075392,353.3629855,314.6416103,348.091536,363.1502729,441.055095,517.638612,545.9883197,710.8988362,753.5471881,681.6979771,1012.624318,1131.133823,1353.997344,1584.337285,1882.218094,2011.641142,2042.113006,2331.392746,2642.252689,3134.148251,3573.03991,4207.181388,4712.555612,5320.539447,5377.307376,5854.19642,6302.983807,6965.701228,7308.83833,7699.400446,8544.457764,8648.084142,9070.967215,9554.381252,10337.98026,10662.91346,10280.81747,11032.71683,11884.77781,13355.56567,14541.88579,15762.70446,15074.21279,14904.94842,15742.95529,15219.1976,15977.28383,17061.30296,17247.17086,17492.80719,17924.06546
Life expectancy,St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,63.95121951,,,,,65.95121951,,,,,67.95121951,,,,,70.03634146,,,,,71.33658537,,,,,,,,,,,,,,,
Net migration,St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,St. Kitts and Nevis,KNA,51195,51193,50966,50525,49930,49214,48358,47380,46402,45534,44885,44495,44326,44316,44331,44276,44148,43942,43703,43457,43210,42976,42762,42542,42294,42013,41697,41351,41047,40852,40834,41013,41361,41846,42373,42891,43373,43846,44317,44824,45374,45990,46641,47306,47971,48611,49210,49783,50332,50886,51445,52006,52591,53169,53739,54288,54821,55345
GDP per capita,"Korea, Rep.",KOR,158.2366362,93.81620864,106.133999,146.2945903,123.5884555,108.7038232,133.449808,161.1157648,198.3656583,243.3344021,279.1251975,300.7648371,323.5961525,405.8829266,561.5671868,615.2014185,830.6991851,1050.898003,1398.478756,1773.526846,1704.469739,1870.338734,1977.641636,2180.494844,2390.673152,2457.327997,2803.368764,3510.99002,4686.137325,5736.903807,6516.305759,7523.477002,8001.540992,8740.945603,10205.80747,12332.97935,13137.90807,12131.8747,8085.323528,10409.32689,11947.57913,11252.90755,12782.52553,14209.38852,15907.66583,18639.52221,20888.38015,23060.70788,20430.63946,18291.9196,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743,29742.83886
Life expectancy,"Korea, Rep.",KOR,53.00180488,53.73673171,54.48509756,55.24736585,56.02358537,56.82321951,57.65819512,58.52653659,59.4182439,60.31636585,62.16341463,62.61219512,63.0097561,63.40731707,63.80487805,64.15365854,64.50243902,64.9,65.19756098,65.54634146,66.04634146,66.54634146,67.09512195,67.54634146,68.19512195,68.79512195,69.44634146,69.99756098,70.54878049,71.04878049,71.59756098,72.04634146,72.49756098,72.99756098,73.39756098,73.7,74.15121951,74.60243902,75.00487805,75.4097561,75.9097561,76.41219512,76.76585366,77.21463415,77.66585366,78.16829268,78.66829268,79.1195122,79.51707317,79.96829268,80.11707317,80.56829268,80.8195122,81.27073171,81.72195122,82.02439024,82.27560976,82.62682927
Net migration,"Korea, Rep.",KOR,,,39834,,,,,-48644,,,,,-209905,,,,,-165144,,,,,93035,,,,,170623,,,,,71504,,,,,159339,,,,,81291,,,,,-156535,,,,,169634,,,,,200000
Population,"Korea, Rep.",KOR,25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201
GDP per capita,Kuwait,KWT,,,,,,4429.171107,4556.463065,4217.380839,4194.569472,4007.258188,3848.569739,4843.548836,5208.495365,5952.861796,13478.76895,11731.55334,12056.15171,12217.22249,12626.99261,19040.04248,20868.74216,17364.39948,14277.62713,13203.17132,13103.55445,12330.47364,9750.902967,11512.05444,10148.91608,11594.13742,8776.741344,5407.969783,,,,16882.42146,19300.86144,17696.13876,14126.8751,15391.34574,18389.38433,16540.96761,17789.41981,22071.56961,26921.08278,35490.26132,42717.55725,45793.97614,55571.99806,37567.30121,38497.61696,48268.5912,51264.07134,48399.80782,42996.31522,29109.06874,27368.28668,29040.36371
Life expectancy,Kuwait,KWT,60.285,61.01,61.697,62.346,62.961,63.542,64.092,64.614,65.108,65.579,66.027,66.453,66.857,67.241,67.607,67.958,68.298,68.628,68.949,69.263,69.573,69.878,70.178,70.47,70.752,71.021,71.273,71.505,71.717,71.908,72.079,72.232,72.369,72.496,72.613,72.722,72.824,72.917,73.004,73.084,73.16,73.232,73.3,73.367,73.434,73.505,73.584,73.67,73.764,73.868,73.979,74.096,74.217,74.338,74.458,74.577,74.694,74.811
Net migration,Kuwait,KWT,,,137000,,,,,146600,,,,,95836,,,,,141100,,,,,115340,,,,,119768,,,,,-655000,,,,,242000,,,,,26500,,,,,479500,,,,,670000,,,,,100000
Population,Kuwait,KWT,269618,301336,338296,379891,425235,473554,524856,579007,634897,691129,746767,801142,854604,908520,964834,1024940,1089209,1157033,1227601,1299683,1372318,1442991,1511314,1580638,1655833,1738994,1836105,1942810,2038885,2096932,2099615,2035661,,,,1610651,1631740,1715314,1836353,1957066,2050741,2109355,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528
GDP per capita,Latin America & Caribbean (excluding high income),LAC,284.2088346,288.7314244,320.9371826,346.4568534,348.9143455,358.2294427,393.0749385,416.5434085,436.9737191,466.5813564,504.5877849,552.6937617,620.5106193,763.0935754,982.3608279,1121.444399,1236.50893,1314.135753,1476.517269,1706.636556,2015.139352,2304.793088,2078.610878,1704.959851,1756.806195,1758.466074,1669.250886,1732.44147,1920.023211,2218.18129,2429.444842,2922.563344,2541.559983,2956.596754,3357.223315,3526.217146,3775.707517,4082.038875,4035.900748,3517.311583,3910.124652,3782.225691,3617.256925,3574.302558,4021.200153,4826.020908,5593.115799,6526.30129,7494.625434,6945.770201,8537.477238,9514.015897,9440.558257,9553.442718,9736.740263,7887.48546,7625.333388,8346.412653
Life expectancy,Latin America & Caribbean (excluding high income),LAC,54.60092316,55.15118069,55.68222584,56.19325815,56.68455166,57.160198,57.62553795,58.0849848,58.54294635,58.99979623,59.4532455,59.90046816,60.33552235,60.75587109,61.16136266,61.55352406,61.93653838,62.31490549,62.69267972,63.07194352,63.45272968,63.83387161,64.21408729,64.58730193,64.95868679,65.3256881,65.68833179,66.04813594,66.40480712,66.76292426,67.12720154,67.50302741,67.89324969,68.29423044,68.70689122,69.12502714,69.54257866,69.95340304,70.34872034,70.72674057,71.08406765,71.41975343,71.73769421,72.03962478,72.32962822,72.60969422,72.88220314,73.14901957,73.41086573,73.66923397,73.92241471,74.1701152,74.40973245,74.64039484,74.8628564,75.07764241,75.28667364,75.4910294
Net migration,Latin America & Caribbean (excluding high income),LAC,,,-1360209,,,,,-1796043,,,,,-2277692,,,,,-2781361,,,,,-3437015,,,,,-3753252,,,,,-3318745,,,,,-4736477,,,,,-5337998,,,,,-2319942,,,,,-1848874,,,,,-1731412
Population,Latin America & Caribbean (excluding high income),LAC,184536470,190021046,195697709,201536793,207496532,213545018,219670768,225877250,232165931,238543508,245013878,251573313,258215063,264937350,271738582,278616831,285566670,292584153,299670407,306827996,314056110,321354880,328714848,336113781,343523088,350921427,358294111,365642644,372981462,380333859,387713894,395121495,402540526,409949382,417319166,424626030,431868811,439044994,446128863,453089523,459908706,466569961,473087978,479514487,485921455,492360617,498847473,505365856,511896377,518406797,524870761,531283625,537645733,543940758,550149862,556257851,562254848,568136842
GDP per capita,Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,489.9487271,641.7386315,468.3241706,278.4193909,148.9844077,172.5414268,203.2559698,234.7193694,250.4922292,287.1875929,325.6292418,363.4716183,377.9712559,345.4969431,248.5413984,277.4951028,324.8450496,326.6408434,319.8270584,362.6252958,417.7516561,475.4164695,590.3013108,709.767087,899.4950787,948.1276421,1141.127115,1381.425606,1588.633147,1838.80602,2017.587781,2159.433152,2338.692157,2457.377414
Life expectancy,Lao PDR,LAO,43.204,43.511,43.817,44.121,44.424,44.728,45.033,45.34,45.65,45.962,46.273,46.578,46.876,47.166,47.449,47.722,47.985,48.244,48.503,48.771,49.06,49.38,49.74,50.14,50.58,51.055,51.553,52.064,52.576,53.085,53.589,54.09,54.594,55.106,55.628,56.158,56.698,57.246,57.801,58.359,58.923,59.494,60.07,60.648,61.224,61.793,62.348,62.886,63.402,63.893,64.357,64.795,65.208,65.6,65.975,66.335,66.683,67.021
Net migration,Lao PDR,LAO,,,76,,,,,30,,,,,46,,,,,-198756,,,,,-35110,,,,,138,,,,,-60567,,,,,-134746,,,,,-148100,,,,,-110258,,,,,-177488,,,,,-73518
Population,Lao PDR,LAO,2120896,2170343,2221122,2273349,2327137,2382594,2439196,2496920,2556852,2620434,2688428,2762265,2840841,2919287,2990965,3051577,3098973,3135842,3168843,3207328,3258144,3323377,3401242,3489977,3586381,3687898,3794043,3905163,4020295,4138408,4258472,4380073,4502363,4623280,4740380,4851923,4957180,5056519,5150763,5241284,5329304,5414568,5497273,5579656,5664605,5754026,5849356,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160
GDP per capita,Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241.684289,1015.464997,1050.117851,1704.079872,2070.823861,2737.72637,3226.98782,3863.26192,4457.96016,5093.290745,5538.680283,5509.346429,5334.903329,5253.122599,5436.595223,5425.66907,5473.48102,5390.208134,5434.252482,6086.79541,7109.513163,8480.988762,8858.283972,8734.189185,8959.258471,8807.901335,8660.036928,8529.51366,8571.126248,8808.589448
Life expectancy,Lebanon,LBN,63.267,63.575,63.871,64.157,64.435,64.709,64.982,65.255,65.528,65.8,66.067,66.323,66.565,66.789,66.995,67.183,67.352,67.508,67.657,67.804,67.955,68.115,68.287,68.475,68.681,68.904,69.143,69.394,69.656,69.93,70.222,70.537,70.878,71.248,71.646,72.071,72.522,72.991,73.473,73.959,74.447,74.934,75.418,75.892,76.351,76.786,77.187,77.553,77.881,78.173,78.43,78.656,78.86,79.05,79.231,79.409,79.584,79.758
